Session Code,Sport,Venue,Zone,Date,Games Day,Session Type,Event,Start Time,End Time,Is in LA Area,Is Women's Event 🎉
ATH02,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,"Saturday, July 15",1,Final,Women's Triple Jump Qualification A and B,17:00,20:15,TRUE,TRUE
ATH02,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,"Saturday, July 15",1,Final,Women's 100m Semifinal,17:00,20:15,TRUE,TRUE
ATH02,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,"Saturday, July 15",1,Final,Women's 400m Hurdles Round 1,17:00,20:15,TRUE,TRUE
ATH02,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,"Saturday, July 15",1,Final,Women's Shot Put Final,17:00,20:15,TRUE,TRUE
ATH02,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,"Saturday, July 15",1,Final,"Men's 10,000m Final",17:00,20:15,TRUE,FALSE
ATH02,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,"Saturday, July 15",1,Final,Women's 100m Final,17:00,20:15,TRUE,TRUE
ATH03,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,"Sunday, July 16",2,Preliminary,Men's Decathlon 100m Heats,9:00,12:00,TRUE,FALSE
ATH03,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,"Sunday, July 16",2,Preliminary,Women's Discus Throw Qualification A and B,9:00,12:00,TRUE,TRUE
ATH03,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,"Sunday, July 16",2,Preliminary,Men's Shot Put Qualification A and B,9:00,12:00,TRUE,FALSE
ATH03,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,"Sunday, July 16",2,Preliminary,Men's Decathlon Long Jump A and B,9:00,12:00,TRUE,FALSE
ATH03,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,"Sunday, July 16",2,Preliminary,Women's 800m Repechage,9:00,12:00,TRUE,TRUE
ATH03,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,"Sunday, July 16",2,Preliminary,Mixed 4x400m Relay Round 1,9:00,12:00,TRUE,FALSE
ATH03,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,"Sunday, July 16",2,Preliminary,Men's Long Jump Qualification A and B,9:00,12:00,TRUE,FALSE
ATH03,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,"Sunday, July 16",2,Preliminary,Men's Decathlon Shot Put A and B,9:00,12:00,TRUE,FALSE
ATH04,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,"Sunday, July 16",2,Final,Men's Decathlon High Jump A and B,15:15,18:55,TRUE,FALSE
ATH04,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,"Sunday, July 16",2,Final,Men's Shot Put Final,15:15,18:55,TRUE,FALSE
ATH04,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,"Sunday, July 16",2,Final,Men's 1500m Round 1,15:15,18:55,TRUE,FALSE
ATH04,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,"Sunday, July 16",2,Final,Men's 100m Semifinal,15:15,18:55,TRUE,FALSE
ATH04,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,"Sunday, July 16",2,Final,Women's Hammer Throw Final,15:15,18:55,TRUE,TRUE
ATH04,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,"Sunday, July 16",2,Final,Mixed 4x400m Relay Final,15:15,18:55,TRUE,FALSE
ATH04,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,"Sunday, July 16",2,Final,Men's Decathlon 400m Heats,15:15,18:55,TRUE,FALSE
ATH04,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,"Sunday, July 16",2,Final,Men's 100m Final,15:15,18:55,TRUE,FALSE
ATH05,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,"Monday, July 17",3,Final,Men's Decathlon 110m Hurdles Heats,9:00,14:00,TRUE,FALSE
ATH05,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,"Monday, July 17",3,Final,Women's 3000m Steeplechase Round 1,9:00,14:00,TRUE,TRUE
ATH05,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,"Monday, July 17",3,Final,Men's Decathlon Discus Throw A and B,9:00,14:00,TRUE,FALSE
ATH05,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,"Monday, July 17",3,Final,Men's 400m Round 1,9:00,14:00,TRUE,FALSE
ATH05,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,"Monday, July 17",3,Final,Women's Triple Jump Final,9:00,14:00,TRUE,TRUE
ATH05,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,"Monday, July 17",3,Final,Men's 400m Hurdles Repechage,9:00,14:00,TRUE,FALSE
ATH05,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,"Monday, July 17",3,Final,Men's Decathlon Pole Vault A and B,9:00,14:00,TRUE,FALSE
ATH05,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,"Monday, July 17",3,Final,Women's 400m Hurdles Repechage,9:00,14:00,TRUE,TRUE
ATH06,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,"Monday, July 17",3,Final,Men's Pole Vault Final,16:30,19:30,TRUE,FALSE
ATH06,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,"Monday, July 17",3,Final,Men's Decathlon Javelin Throw A and B,16:30,19:30,TRUE,FALSE
ATH06,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,"Monday, July 17",3,Final,Mixed 4x100m Relay Round 1,16:30,19:30,TRUE,FALSE
ATH06,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,"Monday, July 17",3,Final,Men's 1500m Repechage,16:30,19:30,TRUE,FALSE
ATH06,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,"Monday, July 17",3,Final,Women's 800m Semifinal,16:30,19:30,TRUE,TRUE
ATH06,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,"Monday, July 17",3,Final,Mixed 4x100m Relay Final,16:30,19:30,TRUE,FALSE
ATH06,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,"Monday, July 17",3,Final,Men's Decathlon 1500m Final,16:30,19:30,TRUE,FALSE
ATH07,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,"Tuesday, July 18",4,Preliminary,Women's Pole Vault Qualification A and B,9:30,12:10,TRUE,TRUE
ATH07,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,"Tuesday, July 18",4,Preliminary,Men's 3000m Steeplechase Round 1,9:30,12:10,TRUE,FALSE
ATH07,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,"Tuesday, July 18",4,Preliminary,Women's 400m Round 1,9:30,12:10,TRUE,TRUE
ATH07,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,"Tuesday, July 18",4,Preliminary,Men's Triple Jump Qualification A and B,9:30,12:10,TRUE,FALSE
ATH07,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,"Tuesday, July 18",4,Preliminary,Men's 110m Hurdles Round 1,9:30,12:10,TRUE,FALSE
ATH08,Athletics (Track & Field),LA Memorial Coliseum,Exposition Park,"Tuesday, July 18",4,Final,Men's 200m Round 1,15:50,18:50,TRUE,FALSE
